Date,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_Volume,USD_INR_Open,USD_INR_High,USD_INR_Low,USD_INR_Close,USD_INR_Volume,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,Oil_Open,Oil_High,Oil_Low,Oil_Close,Oil_Volume
2014-01-02,1204.300048828125,1227.300048828125,1204.300048828125,1225.0,209.0,61.84000015258789,62.40599822998047,61.7400016784668,61.84000015258789,0.0,6301.25,6358.2998046875,6211.2998046875,6221.14990234375,158100.0,98.5,98.97000122070312,95.33999633789062,95.44000244140625,251248.0
2014-01-03,1221.699951171875,1239.0,1221.699951171875,1238.4000244140625,142.0,62.060001373291016,62.56999969482422,62.060001373291016,62.060001373291016,0.0,6194.5498046875,6221.7001953125,6171.25,6211.14990234375,139000.0,95.47000122070312,95.73999786376953,93.86000061035156,93.95999908447266,215522.0
2014-01-06,1232.800048828125,1247.0,1221.9000244140625,1237.800048828125,127.0,62.22999954223633,62.45000076293945,61.939998626708984,62.22999954223633,0.0,6220.85009765625,6224.7001953125,6170.25,6191.4501953125,118300.0,94.18000030517578,94.58999633789062,93.19999694824219,93.43000030517578,189379.0
2014-01-07,1239.300048828125,1242.4000244140625,1226.300048828125,1229.4000244140625,73.0,62.310001373291016,62.45000076293945,61.939998626708984,62.310001373291016,0.0,6203.89990234375,6221.5,6144.75,6162.25,138600.0,93.5999984741211,94.22000122070312,93.3499984741211,93.66999816894531,177182.0
2014-01-08,1227.5,1227.5,1218.5999755859375,1225.300048828125,189.0,62.08000183105469,62.29800033569336,61.79999923706055,62.08000183105469,0.0,6178.0498046875,6192.10009765625,6160.35009765625,6174.60009765625,146900.0,93.95999908447266,94.18000030517578,92.26000213623047,92.33000183105469,244855.0
2014-01-09,1225.800048828125,1229.300048828125,1225.800048828125,1229.300048828125,7.0,62.119998931884766,62.233001708984375,61.939998626708984,62.119998931884766,0.0,6181.7001953125,6188.0498046875,6148.25,6168.35009765625,150100.0,92.58000183105469,92.93000030517578,91.23999786376953,91.66000366210938,255784.0
2014-01-10,1235.0,1246.800048828125,1234.0,1246.699951171875,58.0,61.779998779296875,62.0880012512207,61.31999969482422,61.779998779296875,0.0,6178.85009765625,6239.10009765625,6139.60009765625,6171.4501953125,159900.0,92.30000305175781,93.37999725341797,91.98999786376953,92.72000122070312,255988.0
2014-01-13,1250.5999755859375,1252.699951171875,1245.5,1250.9000244140625,46.0,61.439998626708984,61.900001525878906,61.150001525878906,61.439998626708984,0.0,6189.5498046875,6288.2001953125,6189.5498046875,6272.75,135000.0,92.83000183105469,92.87999725341797,91.43000030517578,91.80000305175781,212208.0
2014-01-14,1251.0,1251.300048828125,1242.0,1245.199951171875,37.0,61.470001220703125,61.599998474121094,61.34000015258789,61.470001220703125,0.0,6260.25,6280.35009765625,6234.14990234375,6241.85009765625,110200.0,91.51000213623047,92.87999725341797,91.5,92.58999633789062,243474.0
2014-01-15,1243.0999755859375,1243.199951171875,1238.0999755859375,1238.0999755859375,68.0,61.470001220703125,61.70500183105469,61.41999816894531,61.470001220703125,0.0,6265.9501953125,6325.2001953125,6265.2998046875,6320.89990234375,145900.0,92.6500015258789,94.63999938964844,92.43000030517578,94.16999816894531,263295.0
2014-01-16,1239.300048828125,1242.800048828125,1239.0,1240.0,48.0,61.540000915527344,61.68000030517578,61.13999938964844,61.540000915527344,0.0,6341.35009765625,6346.5,6299.85009765625,6318.89990234375,153400.0,94.29000091552734,94.63999938964844,93.5999984741211,93.95999908447266,165135.0
2014-01-17,1239.699951171875,1254.300048828125,1239.699951171875,1251.699951171875,101.0,61.41999816894531,61.59000015258789,61.27000045776367,61.41999816894531,0.0,6306.25,6327.10009765625,6246.35009765625,6261.64990234375,167700.0,94.16999816894531,94.94000244140625,93.94000244140625,94.37000274658203,119887.0
2014-01-21,1256.4000244140625,1257.5,1240.0,1242.300048828125,224.0,61.540000915527344,62.08000183105469,61.349998474121094,61.61800003051758,0.0,6320.14990234375,6330.2998046875,6297.89990234375,6313.7998046875,141700.0,94.0,95.2300033569336,93.43000030517578,94.98999786376953,244861.0
2014-01-22,1241.699951171875,1242.0,1239.0,1239.0,58.0,61.970001220703125,62.0,61.757999420166016,61.970001220703125,0.0,6309.0498046875,6349.9501953125,6287.4501953125,6338.9501953125,137500.0,95.19999694824219,96.88999938964844,95.12000274658203,96.7300033569336,252349.0
2014-01-23,1235.199951171875,1264.199951171875,1235.199951171875,1262.5999755859375,40.0,61.869998931884766,62.04999923706055,61.77000045776367,61.869998931884766,0.0,6325.9501953125,6355.60009765625,6316.39990234375,6345.64990234375,120100.0,96.69000244140625,97.83999633789062,96.41000366210938,97.31999969482422,274078.0
2014-01-24,1258.300048828125,1269.4000244140625,1258.300048828125,1264.5,38.0,62.130001068115234,62.7599983215332,61.92499923706055,62.130001068115234,0.0,6301.64990234375,6331.4501953125,6263.89990234375,6266.75,160300.0,97.37000274658203,97.80000305175781,96.25,96.63999938964844,239673.0
2014-01-27,1259.800048828125,1264.4000244140625,1254.4000244140625,1263.5999755859375,92.0,62.72999954223633,63.34000015258789,62.650001525878906,62.72999954223633,0.0,6186.2998046875,6188.5498046875,6130.25,6135.85009765625,190400.0,96.9000015258789,97.18000030517578,95.20999908447266,95.72000122070312,235110.0
2014-01-28,1257.9000244140625,1258.4000244140625,1251.0,1251.0,20.0,63.380001068115234,63.380001068115234,62.5,63.380001068115234,0.0,6131.85009765625,6163.60009765625,6085.9501953125,6126.25,184100.0,95.66000366210938,97.66000366210938,95.62999725341797,97.41000366210938,206490.0
2014-01-29,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,137028.0,62.380001068115234,63.0099983215332,62.06999969482422,62.380001068115234,0.0,6161.0,6170.4501953125,6109.7998046875,6120.25,146700.0,97.16999816894531,97.75,96.31999969482422,97.36000061035156,200486.0
2014-01-30,1267.0,1267.699951171875,1237.5,1242.199951171875,45276.0,62.83000183105469,63.0099983215332,62.31999969482422,62.46799850463867,0.0,6067.0,6082.85009765625,6027.25,6073.7001953125,208100.0,97.41999816894531,98.58999633789062,97.33000183105469,98.2300033569336,199420.0
2014-01-31,1243.5999755859375,1254.5,1238.4000244140625,1240.0999755859375,5820.0,62.310001373291016,62.779998779296875,62.310001373291016,62.310001373291016,0.0,6082.75,6097.85009765625,6067.35009765625,6089.5,146700.0,97.97000122070312,98.38999938964844,97.0999984741211,97.48999786376953,253457.0
2014-02-03,1242.4000244140625,1266.300048828125,1241.199951171875,1260.4000244140625,2914.0,62.5,62.849998474121094,62.2400016784668,62.5,0.0,6058.7998046875,6074.85009765625,5994.4501953125,6001.7998046875,134900.0,97.4000015258789,97.94000244140625,96.26000213623047,96.43000030517578,293312.0
2014-02-04,1258.4000244140625,1260.699951171875,1247.800048828125,1251.699951171875,1745.0,62.869998931884766,62.869998931884766,62.290000915527344,62.869998931884766,0.0,5947.60009765625,6017.7998046875,5933.2998046875,6000.89990234375,183300.0,96.52999877929688,97.81999969482422,96.37000274658203,97.19000244140625,204282.0
2014-02-05,1254.0,1273.699951171875,1253.0999755859375,1257.300048828125,1616.0,62.130001068115234,62.60300064086914,62.130001068115234,62.130001068115234,0.0,6004.25,6028.0498046875,5962.0498046875,6022.39990234375,166600.0,97.66999816894531,98.26000213623047,96.80000305175781,97.37999725341797,237671.0
2014-02-06,1258.0,1267.0,1253.5,1257.5999755859375,274.0,62.22999954223633,62.59299850463867,62.13999938964844,62.22999954223633,0.0,6028.35009765625,6048.35009765625,5965.39990234375,6036.2998046875,185500.0,97.25,98.83000183105469,97.25,97.83999633789062,234281.0
2014-02-07,1258.300048828125,1271.4000244140625,1257.9000244140625,1263.300048828125,436.0,62.22999954223633,62.40999984741211,61.790000915527344,62.22999954223633,0.0,6077.64990234375,6079.9501953125,6030.89990234375,6063.2001953125,181900.0,97.97000122070312,100.23999786376953,97.11000061035156,99.87999725341797,270407.0
2014-02-10,1269.5999755859375,1277.300048828125,1265.699951171875,1274.800048828125,742.0,62.09000015258789,62.49250030517578,61.84000015258789,62.09000015258789,0.0,6072.7998046875,6083.0498046875,6046.39990234375,6053.4501953125,133100.0,100.05000305175781,100.55000305175781,99.11000061035156,100.05999755859375,251127.0
2014-02-11,1274.0,1292.0,1273.800048828125,1290.0999755859375,562.0,62.310001373291016,62.45000076293945,62.02000045776367,62.448001861572266,0.0,6072.4501953125,6081.85009765625,6053.25,6062.7001953125,150500.0,99.97000122070312,100.5999984741211,99.5999984741211,99.94000244140625,233933.0
2014-02-12,1290.5,1296.199951171875,1285.5,1295.300048828125,140.0,62.029998779296875,62.21799850463867,61.650001525878906,62.029998779296875,0.0,6085.35009765625,6106.60009765625,6077.39990234375,6084.0,138500.0,100.45999908447266,101.37999725341797,100.04000091552734,100.37000274658203,318686.0
2014-02-13,1293.300048828125,1303.5,1287.5,1300.4000244140625,877.0,61.68000030517578,62.448001861572266,61.68000030517578,61.68000030517578,0.0,6087.5498046875,6094.39990234375,5991.10009765625,6001.10009765625,153700.0,100.2699966430664,100.66000366210938,99.4000015258789,100.3499984741211,221722.0
2014-02-14,1301.699951171875,1320.699951171875,1301.699951171875,1319.0,308.0,62.150001525878906,62.41999816894531,61.68000030517578,62.150001525878906,0.0,6023.75,6056.39990234375,5984.60009765625,6048.35009765625,140200.0,100.33999633789062,100.47000122070312,99.43000030517578,100.30000305175781,229784.0
2014-02-18,1322.9000244140625,1330.5999755859375,1313.9000244140625,1324.699951171875,373.0,61.790000915527344,62.29999923706055,61.790000915527344,61.790000915527344,0.0,6071.2998046875,6141.7001953125,6066.7998046875,6127.10009765625,126600.0,100.31999969482422,103.25,100.2300033569336,102.43000030517578,177371.0
2014-02-19,1318.300048828125,1321.5999755859375,1309.0999755859375,1320.5999755859375,193.0,62.209999084472656,62.27000045776367,62.0099983215332,62.209999084472656,0.0,6132.0498046875,6160.35009765625,6125.75,6152.75,95200.0,103.13999938964844,103.80000305175781,102.4000015258789,103.30999755859375,116164.0
